,Review,Date,day,month,year
46,"Pros:    Sleek and handy, no more chunks of heavy metal      Premium and stylish, Matt black looks royal.      Camera is stunning, you can't believe, it nurtured a hidden photographer in me to such an extent that I bought a dslr now, most of my pics are clicked on it. Camera is comparable to point and shoot standalones.      Battery life is more than sufficient.      iOS is more secure and reliable.      Sound is louder and crisper then 6 th generation      Aluminium 7000 series is more sturdy      Cons:      No 3.5 mm, but there is an adapter to bridge that      I my personal opinion screen should be 5 inch, reducing bezels.      Price.. but I got it in deal, cheapest ever, thanks to flipkart      Enjoying my iPhone . Go for it else for i8 if budget doesn't matter for u ;)       READ MORE    ", 11 Sep 2017,11,Sep, 2017
47,Fulfilled the wish. Nice work . Got my iPhone 7  black . Loved the facility of flipkart       READ MORE    , 19 Dec 2016,19,Dec, 2016
48,"Great phone, exceptional camera, impeccable delivery and service by Flipkart.       READ MORE    ", 28 Oct 2016,28,Oct, 2016
49,Mobile is good. No defects thanks to supercomnet retailers. Flipkart delivered after a week and promised date but they would have delivered early before promised date. They miss routed couriers and I can see misrouted sticked on package.Apart from Ekart delivery product is good and I have noticed mobile heating up when high utilisation is happening mostly using WhatsApp video calling but not frequently.its been two months of experience in iphone7 mobile is good and inbuilt apps are cool.       READ MORE    , 8 Jul 2017,8,Jul, 2017
50,"Product:    A better touch and response time then previous versions of iPhone. Black color is super cool, though not much change in looks. Camera upgrade is good, with a brighter display.    Stereo sound is good, new home button is quite sensitive, overall a good buy.      Delivery and packaging:    Timely delivery and in a uber cool box, kudos to Flipkart for that       READ MORE    ", 8 Oct 2016,8,Oct, 2016
51,"Excellent and great value for money. It's been a great experience after moving from iPhone 4s for 4 years to iPhone 7. Everything seems to be new, fast touch response and finger print sensor is great. Best and fast processor in the current smartphones. Camera is outstanding, I always had better camera experience in iPhone 4s and now iPhone 7 with 12mp &amp; 7mp is really great, especially low light shots are great. Although missing 3.5mm jack but lightning cable for headphone and charger is also way too good. Overall it been a great buying experience with Flipkart with great discounts and exchange offer. Thumps up :-)       READ MORE    ", 21 Jan 2017,21,Jan, 2017
52,"Superb phone, elegant, stylish and classy colour matte black...made a great choice :)    Flipkart lived up to its delivery promise which is today the launch day. Overall brilliant! Worth the money spent       READ MORE    ", 7 Oct 2016,7,Oct, 2016
53,"iPhone 7 was launched at 7 PM IST on October 7 in India. I received an SMS at 7 PM that the delivery boy is out and I will be getting the product. I received my product at 8 PM, within one hour of the launch. With great excitement I open the packing that said priority. Upon opening I found a flipkart exclusive black box designed for iPhone 7. This packing is elegant and a surprise. Kudos to flipkart for the packing and delivery.      Coming to the phone:    1) The colour is elegant. Even though the design is nearly the same except for the 3.5mm earphones jack, the colour is something which makes it different and gorgeous. The touch is awesome and the phone setup is easy.    2) The speakers are louder than the previous versions of the phone. But I am not sure if it is 2 times the sound of previous phones.    3) 4G reception is good. I tried Airtel 4G and Reliance Jio.    4) The camera is good.    5) I absolutely love the customisable home button which gives me feeling that I am pressing a button which is against the feeling of using most android phones.    6) More storage is a delight.      Cons:    1) The battery backup is not great. It is draining quite fast even at minimal YouTube and internet usage with no new apps installed and running in the background.    2) The display satisfies my eyes but it could have been better when it comes to resolution. But I love what I am seeing.      The phone is gorgeously simple. Thanks to flipkart and Apple.       READ MORE    ", 8 Oct 2016,8,Oct, 2016
54,"I have serched over all enternet for buying an iphone 7 i cheked many shopping sites reviews and all customers feedbacks and after talking with many friends finally i get that many friends buyed mobile from flipkart and they got authentic mobiles so i finally decided to buy from flipkart and at same time i listened about big 10 sale and i ordered at exect time for cod and i got it only for 39,999rs. Then i waited for 4 days and i got that product i have doubt in mind that i have buyed it online and also at time of sale, it will be authentic\real,then after payment i directly went with that box to inspire and unboxed their by recording full video by my mobile and then i have got a first look of mobile which is fresh look and looking perfectly new mobile my first doubt was cleared that it is not an empty box and not a box with a stone. Then they started mobile and checked all accessories and then said it is 100% real and then he activated my mobile and now I am enjoying it without any problem if any problem occurred in feature then their is warranty I can contact inspire(apple store) easily as it has all rights that any iPhone has. Thank you flip kart. Really 100% authentic. You can also search me on instagram I am student and really I got iPhone 7 at lowest price and as much as authentic as any other real iPhone in world.       READ MORE    ", 1 Jun 2017,1,Jun, 2017
55,I have ordered an I phone 7 and I got it on 25th of september. It works for 3 days and now it stop working unexpectedley. Its not even turning on now. Apple support is asking me to return it but there is no return option available on site. I want to replace it or want my refund.        Apple is asking for refund from Flipkart and Flipkart is not giving any return option (Not even a single day replacement)      Will never buy anything from Flipkart and suggest you guys the same.       READ MORE    , 3 Oct 2017,3,Oct, 2017
56,I love iPhone 7. It's really awesome and Flipkart delivery also too good.....       READ MORE    , 9 Oct 2017,9,Oct, 2017
57,I am unable to use this with data phone is getting huge heat need to replace       READ MORE    , 1 Oct 2017,1,Oct, 2017
58,"IPhone build quality is great and it looks premium, it is slightly slippery in hands make sure u have good Case and the greatest drawback is the battery drains lot more faster compared to other high end mobiles....       READ MORE    ", 24 Sep 2017,24,Sep, 2017
59,Excellent product.....       READ MORE    , 20 Dec 2016,20,Dec, 2016
60,As good as 6S       READ MORE    , 1 Nov 2016,1,Nov, 2016
61,Best Smartphone + Best Operating System = Best Experience.       READ MORE    , 12 Nov 2017,12,Nov, 2017
62,"I have never ordered anything expensive online. This was my first, and I was nervous how it will be. However I am pleased with Flipkart and the seller. The product was delivered on time and original. Thank you.       READ MORE    ", 12 Nov 2017,12,Nov, 2017
63,Dewali good deal. Nice features .       READ MORE    , 12 Nov 2017,12,Nov, 2017
64,"Good to go, with nice features and camera. Dont know why they havent put the feature of downloading the updates from mobile data.  Only wifi updates.       READ MORE    ", 12 Nov 2017,12,Nov, 2017
65,Original iPhone..    Delivery in time..    Flipkart rocks..       READ MORE    , 12 Nov 2017,12,Nov, 2017
66,iPhone 7 black is always awesome       READ MORE    , 12 Nov 2017,12,Nov, 2017
67,Super deal       READ MORE    , 12 Nov 2017,12,Nov, 2017
68,"No, need to write a review, my trust is filled with full confidence with Flipkart.       READ MORE    ", 12 Nov 2017,12,Nov, 2017
69,Outstanding phone with stunning looks. Amazing sound and camera quality. Truly amazing......       READ MORE    , 11 Nov 2017,11,Nov, 2017
70,Delivery is good at time and the product is awesome. But the delivery package/box is not as much as good - lack of safety for such a cost.       READ MORE    , 11 Nov 2017,11,Nov, 2017
71,Wonderful phone.. This my first and last choice. This is the best phone according to me. Value money I have this on 16 October 2017 on 38999/- value for money. 2gb RAM of iOS = 8gb of android..       READ MORE    , 5 Nov 2017,5,Nov, 2017
72,Thanks to flipkart for delivering the product well before the delivery time. Really excited to hv the feel of iPhone. It's bit too early to give the rating but initial experience of using iPhone is amazing.       READ MORE    , 4 Nov 2017,4,Nov, 2017
73,Excellent quality...worth of your money.good delivery service by Flipkart.       READ MORE    , 4 Nov 2017,4,Nov, 2017
74,"Excellent product... thanks for the amazing deal i got this in Rs. 30,627 :)       READ MORE    ", 4 Nov 2017,4,Nov, 2017
75,It has battery and heating issue.  and seller is not allowing me to return product after purchase of 5 days.       READ MORE    , 4 Nov 2017,4,Nov, 2017
76,Dont buy from flipkart providing fake offers. I purchased 7 on credit card emi delivery boy came and took the product along with him poor service nd not got satisfied revert from the support team bad experience ever.       READ MORE    , 3 Nov 2017,3,Nov, 2017
77,Battery backup is poor       READ MORE    , 3 Nov 2017,3,Nov, 2017
78,"very good product, genuine and original iphone, very fast delivery within two days. thanks flipkart hope to deal with you again       READ MORE    ", 2 Nov 2017,2,Nov, 2017
79,Product is Genuine On Time Delivery Fully Satisfied.    The Iphone is User Friendly.       READ MORE    , 2 Nov 2017,2,Nov, 2017
80,I am using this phone now for over a month. If cant afford for the iPhone 8 or iPhone x then its a still Very good choice for you in late 2017.       READ MORE    , 31 Oct 2017,31,Oct, 2017
81,Impressed with the battery life. Lasts upto 2 days.       READ MORE    , 30 Oct 2017,30,Oct, 2017
82,Apple       READ MORE    , 29 Oct 2017,29,Oct, 2017
83,Great product.       READ MORE    , 29 Oct 2017,29,Oct, 2017
84,genuine product and received before promised date a big thanks to flipkart and the seller (so much negative review for the seller dnt knw why took risk but worth it)...excellent packing is another thing to mention... fully satisfied....                 READ MORE    , 29 Oct 2017,29,Oct, 2017
85,Most valuable phone on my hand    thnku so much flipkart team and also good service now I'm so happy       READ MORE    , 29 Oct 2017,29,Oct, 2017
86,Good quality phone       READ MORE    , 29 Oct 2017,29,Oct, 2017
87,Im writing this review after using my iPhone for about 3 days. It is completely original iPhone with all the accessories as I checked it on Apple website. No need to worry if you are buying it. I recommend it to everyone who is iPhone obsessed.       READ MORE    , 29 Oct 2017,29,Oct, 2017
88,Osm       READ MORE    , 28 Oct 2017,28,Oct, 2017
89,iPhone is a dream for everyone. Thank you Flipkart for making it real at this low cost.      Excellent phone as what heard       READ MORE    , 27 Oct 2017,27,Oct, 2017
90,"Worried a lot after reading so many negative reviews about the seller #SuperComNet. Unfortunately, indeed fortunately, I read them after placing the order. But finally they delivered me an authentic piece.    Upgraded to iPhone 7.    Thanks to apple, flipkart, SuperComNet and HDFC.       READ MORE    ", 27 Oct 2017,27,Oct, 2017
91,"Been using it for last 7 days,not gonna go over pros and cons or features it's already well described in other comments,if your comfortable with a 4.7 inch screen then there is nothing to be disappointed about this phone.Go for it       READ MORE    ", 23 Oct 2017,23,Oct, 2017
92,I received my product before one day delivery date.I fear due to some negative review against seller supercomnet. I don't understand why people are comment negative review.But I had recieved original product.I have checked serial number and imie no in apple site and it shows original.I am first user of apple.Really it is amazing to use i phone 7.Before I have used samsung note4.It is totally difference between ios and android.Ios is very smooth and clean software.So thanks to flipkart and supercom net for send me original product.I exchanged my samsung note4 mobile at good price in exchange offer.       READ MORE    , 23 Oct 2017,23,Oct, 2017
93,"This is my first Iphone.      I used to think that apple products are absolutelt flawless and they would never hang etc.      But I turned out to be wrong.      In the first 3 months of use, i had to force restart the phone a couple of times and there have been times when the phone behaved funnily.        So it isnt perfect after all.      But yes, it is smoother than most android phones. But it has its own flaws, which makes me wonder if it makes sense to pay such a huge premium.       READ MORE    ", 22 Oct 2017,22,Oct, 2017
94,Great product!      Working absolutely wonderful!       READ MORE    , 17 Oct 2017,17,Oct, 2017
95,Thanks nothing else as you made my day as it my birthday       READ MORE    , 17 Oct 2017,17,Oct, 2017
96,Good....       READ MORE    , 17 Oct 2017,17,Oct, 2017
97,Its more than 2 days I am using IPhone 7 and its my welcome kit to IOS . So loving it    For Delivery    Flipkart delivers product within 24 hours as seller is also from Delhi    But delivery Agent was rude .    Flipkart should look into matter      For Product    Working fine and smoothly . Thnx to Seller and Flipkart for not sending fena soap instead of IPhone       READ MORE    , 16 Oct 2017,16,Oct, 2017
98,Good and size is comfortable to use....master piece ...       READ MORE    , 16 Oct 2017,16,Oct, 2017
99,Flipkart service is awesome!    Awesome product but Input output operation is slow for this 32gb model :(       READ MORE    , 16 Oct 2017,16,Oct, 2017
100,Shopping with FlipKart is always ease. This time FlipKart has delivered iPhone Within 24 Hour. Thank you FlipKart as always keeping Good Faith in you..       READ MORE    , 16 Oct 2017,16,Oct, 2017
101,good and satisfied       READ MORE    , 16 Oct 2017,16,Oct, 2017
102,Love it       READ MORE    , 16 Oct 2017,16,Oct, 2017
103,Awesome!!!!       READ MORE    , 16 Oct 2017,16,Oct, 2017
104,Nice       READ MORE    , 15 Oct 2017,15,Oct, 2017
105,Great phone!! Great deal and also great service!! Thanks to flipkart!!       READ MORE    , 15 Oct 2017,15,Oct, 2017
106,Flipkart jst love you      Delivery was as per time it take 36 hours to deliver and the product is fabulous...       READ MORE    , 15 Oct 2017,15,Oct, 2017
107,Good       READ MORE    , 15 Oct 2017,15,Oct, 2017
108,Good service but long time  DIFFERENCE PRODUCT CHENGE PROBLEM SOLVE...       READ MORE    , 14 Oct 2017,14,Oct, 2017
109,The product was very nice but the service was slow pls make sure that next time the service should be faster than expected thanks       READ MORE    , 14 Oct 2017,14,Oct, 2017
110,Awesome....... good.........       READ MORE    , 14 Oct 2017,14,Oct, 2017
111,Excellent Phone worth upgrade!       READ MORE    , 14 Oct 2017,14,Oct, 2017
112,Worth price. Batt is awesome. Camera good. Everything perfect hands down       READ MORE    , 13 Oct 2017,13,Oct, 2017
113,Very good l       READ MORE    , 13 Oct 2017,13,Oct, 2017
114,"Really happy with the product and its delivery, the delivery was on time and the product is awesome, in love with my iPhone 7.       READ MORE    ", 13 Oct 2017,13,Oct, 2017
115,"Iphone 7 32gb    Original product, best price, fast service.    Thanks Flipkart       READ MORE    ", 13 Oct 2017,13,Oct, 2017
116,Nice product correct time delivery       READ MORE    , 13 Oct 2017,13,Oct, 2017
117,Nice phone       READ MORE    , 13 Oct 2017,13,Oct, 2017
118,Excellent performance       READ MORE    , 13 Oct 2017,13,Oct, 2017
119,Apple is awesome    Dont think much simply go for it !!!       READ MORE    , 13 Oct 2017,13,Oct, 2017
120,iPhone in just incomparable with any other phone . It just awesome and love it       READ MORE    , 13 Oct 2017,13,Oct, 2017
121,Top sealer of iPhone I so happy       READ MORE    , 13 Oct 2017,13,Oct, 2017
122,Awesome       READ MORE    , 13 Oct 2017,13,Oct, 2017
123,Its Nice       READ MORE    , 13 Oct 2017,13,Oct, 2017
124,Awesome...Shifted from Android to iOS..using iPhone 7 is a GREAT experience...       READ MORE    , 13 Oct 2017,13,Oct, 2017
125,Thanks Flipkart for the big billion day! Bought a big billion smile on my dad's face on his birthday!       READ MORE    , 13 Oct 2017,13,Oct, 2017
126,Just like 6s with minor updates in hardware       READ MORE    , 12 Oct 2017,12,Oct, 2017
127,Delivered quickly and in good condition as well. The box showed no dent or tear which is a good sign. iPhone needs no reviews as 7 is still faster than any other phoe of its age. Absolutely worth but wait for bigger discounts. Buy when priced at 38999/- or below.       READ MORE    , 12 Oct 2017,12,Oct, 2017
128,Its worth to upgrade and i have upgraded from i5s to i7 and its an amazing upgrade the colour of the phone is awesome and the delivery time is also good. Delivers 2 days before the expected delivery data. All the new look and the design of the phone is awesome and it is better than the jet black variant of i7.       READ MORE    , 12 Oct 2017,12,Oct, 2017
129,Superb product with safe n fast delivery.. thanks to flipcart.. make me happy with my dream phone at best price.       READ MORE    , 12 Oct 2017,12,Oct, 2017
130,100% original.  really happy with flipkart service.got it at best price       READ MORE    , 11 Oct 2017,11,Oct, 2017
131,no words..       READ MORE    , 11 Oct 2017,11,Oct, 2017
132,I got it for 37999. Great phone.       READ MORE    , 11 Oct 2017,11,Oct, 2017
133,Cute       READ MORE    , 10 Oct 2017,10,Oct, 2017
134,Genuine product    Only problem was late delivery       READ MORE    , 10 Oct 2017,10,Oct, 2017
